date,close,volume,open,high,low,symbol
2023-04-21,106.96,86652650,106.1,108.15,105.08,AMZN
2023-04-20,103.81,57696870,103.53,105.25,103.21,AMZN
2023-04-19,104.3,58398890,101.58,105.12,101.39,AMZN
2023-04-18,102.3,39790520,103.95,104.2,101.52,AMZN
2023-04-17,102.74,39919460,103.16,103.73,101.59,AMZN
2023-04-14,102.51,51450520,102.07,103.2013,101.11,AMZN
2023-04-13,102.4,67925140,98.95,102.57,98.71,AMZN
2023-04-12,97.83,56735010,100.4,100.51,97.705,AMZN
2023-04-11,99.92,60417850,100.8,101.0,99.01,AMZN
2023-04-10,102.17,37261190,100.96,102.2,99.57,AMZN
2023-04-06,102.06,43808020,100.75,102.3817,99.8008,AMZN
2023-04-05,101.1,45175390,103.91,103.91,100.7506,AMZN
2023-04-04,103.95,48662500,102.75,104.2,102.11,AMZN
2023-04-03,102.41,41135730,102.3,103.29,101.43,AMZN
2023-03-31,103.29,56750320,102.16,103.49,101.95,AMZN
2023-03-30,102.0,53633400,101.55,103.04,101.01,AMZN
2023-03-29,100.25,49783280,98.69,100.4218,98.56,AMZN
2023-03-28,97.24,38720050,98.11,98.44,96.29,AMZN
2023-03-27,98.04,46721300,99.07,99.34,97.08,AMZN
2023-03-24,98.13,56144800,98.065,98.3,96.4,AMZN
2023-03-23,98.71,57559310,100.43,101.06,97.62,AMZN
2023-03-22,98.7,57475370,100.45,102.1,98.61,AMZN
2023-03-21,100.61,58597280,98.14,100.845,98.0,AMZN
2023-03-20,97.71,62388910,98.41,98.48,95.7,AMZN
2023-03-17,98.95,87300240,99.79,100.66,97.455,AMZN
2023-03-16,100.04,84558930,95.75,100.99,95.61,AMZN
2023-03-15,96.2,70731790,93.22,96.67,93.07,AMZN
2023-03-14,94.88,60912670,93.83,95.07,92.71,AMZN
2023-03-13,92.43,72397050,89.97,94.02,88.12,AMZN
2023-03-10,90.73,69827490,92.67,93.57,90.245,AMZN
2023-03-09,92.25,56218710,93.68,96.21,92.18,AMZN
2023-03-08,93.92,44899130,93.6,94.165,92.18,AMZN
2023-03-07,93.55,49100670,94.06,95.09,92.78,AMZN
2023-03-06,93.75,52112360,95.19,96.545,93.74,AMZN
2023-03-03,94.9,55759610,92.74,94.94,92.66,AMZN
2023-03-02,92.13,55574820,91.41,92.23,90.39,AMZN
2023-03-01,92.17,52299520,93.87,94.68,91.59,AMZN
2023-02-28,94.23,43959290,93.14,94.69,92.92,AMZN
2023-02-27,93.76,47470320,94.28,94.78,93.14,AMZN
2023-02-24,93.5,57053810,93.53,94.14,92.3186,AMZN
2023-02-23,95.82,48466990,96.12,96.43,93.67,AMZN
2023-02-22,95.79,59534090,95.1,97.01,94.8,AMZN
2023-02-21,94.58,56580360,95.335,95.605,94.27,AMZN
2023-02-17,97.2,60029410,97.8,97.94,95.65,AMZN
2023-02-16,98.15,56339170,99.21,100.63,98.1,AMZN
2023-02-15,101.16,48053880,99.09,101.17,98.45,AMZN
2023-02-14,99.7,56202900,98.41,100.9207,97.52,AMZN
2023-02-13,99.54,52841460,97.85,99.68,96.91,AMZN
2023-02-10,97.61,52740130,97.56,98.8163,96.23,AMZN
2023-02-09,98.24,64622490,101.32,101.78,97.57,AMZN
2023-02-08,100.05,75878300,102.04,102.6699,98.775,AMZN
2023-02-07,102.11,119501300,101.17,102.41,98.08,AMZN
2023-02-06,102.18,81945200,102.925,103.9484,100.65,AMZN
2023-02-03,103.39,144374800,105.26,108.78,102.52,AMZN
2023-02-02,112.91,158154200,110.245,114.0,108.88,AMZN
2023-02-01,105.15,80450120,102.53,106.24,101.24,AMZN
2023-01-31,103.13,66527250,101.155,103.3484,101.14,AMZN
2023-01-30,100.55,70691860,101.09,101.74,99.01,AMZN
2023-01-27,102.24,87775610,99.53,103.485,99.53,AMZN
2023-01-26,99.22,68523560,98.235,99.49,96.92,AMZN
2023-01-25,97.18,94261570,92.56,97.24,91.52,AMZN
2023-01-24,96.32,66929450,96.93,98.09,96.0,AMZN
2023-01-23,97.52,76501100,97.56,97.78,95.86,AMZN
2023-01-20,97.25,67481540,93.86,97.354,93.2025,AMZN
2023-01-19,93.68,69002660,94.74,95.44,92.86,AMZN
2023-01-18,95.46,79570370,97.25,99.32,95.38,AMZN
2023-01-17,96.05,72755000,98.68,98.89,95.73,AMZN
2023-01-13,98.12,85549430,94.18,98.37,94.12,AMZN
2023-01-12,95.27,85254780,96.93,97.19,93.5,AMZN
2023-01-11,95.09,103126200,90.93,95.26,90.93,AMZN
2023-01-10,89.87,67756600,87.57,90.185,87.29,AMZN
2023-01-09,87.36,65266060,87.46,89.48,87.08,AMZN
2023-01-06,86.08,83303360,83.03,86.4,81.43,AMZN
2023-01-05,83.12,67930830,85.33,85.42,83.07,AMZN
2023-01-04,85.14,68885120,86.55,86.98,83.36,AMZN
2023-01-03,85.82,76706040,85.46,86.96,84.205,AMZN
2022-12-30,84.0,62401190,83.12,84.05,82.47,AMZN
2022-12-29,84.18,54995900,82.87,84.55,82.55,AMZN
2022-12-28,81.82,58228580,82.8,83.48,81.69,AMZN
2022-12-27,83.04,57284040,84.97,85.35,83.0,AMZN
2022-12-23,85.25,57433660,83.25,85.78,82.9344,AMZN
2022-12-22,83.79,81431310,85.52,85.68,82.25,AMZN
2022-12-21,86.77,59267160,86.175,87.225,85.21,AMZN
2022-12-20,85.19,74348300,85.33,86.61,84.33,AMZN
2022-12-19,84.92,83531460,87.51,87.63,84.51,AMZN
2022-12-16,87.86,146144100,88.265,89.35,86.73,AMZN
2022-12-15,88.45,84802880,89.89,89.97,87.47,AMZN
2022-12-14,91.58,70298010,92.502,93.4581,89.87,AMZN
2022-12-13,92.49,100212000,95.23,96.25,90.52,AMZN
2022-12-12,90.55,61999760,89.21,90.58,87.87,AMZN
2022-12-09,89.09,67398510,88.9,90.3,88.63,AMZN
2022-12-08,90.35,73305890,89.24,90.86,87.88,AMZN
2022-12-07,88.46,68086880,88.34,89.89,87.48,AMZN
2022-12-06,88.25,75503630,90.5,91.04,87.9,AMZN
2022-12-05,91.01,71535530,93.05,94.06,90.82,AMZN
2022-12-02,94.13,72496390,94.475,95.36,93.78,AMZN
2022-12-01,95.5,68487970,96.99,97.23,94.92,AMZN
2022-11-30,96.54,102805800,92.47,96.54,91.525,AMZN
2022-11-29,92.42,65567290,94.04,94.41,91.44,AMZN
2022-11-28,93.95,75062320,93.93,96.4,93.43,AMZN
2022-11-25,93.41,35088610,93.79,94.43,93.065,AMZN
2022-11-23,94.13,59414680,93.24,94.58,92.83,AMZN
